정답여부, 문제 번호
true,1182,부분수열의 합
true,1260,DFS와 BFS
true,1463,1로 만들기
true,1476,날짜 계산
true,1676,팩토리얼 0의 개수
true,1759,암호 만들기
true,1890,점프
true,1929,소수 구하기
true,1934,최소공배수
true,1978,소수 찾기
true,2178,미로 탐색
true,2293,동전 1
true,2294,동전 2
true,2309,일곱 난쟁이
true,2609,최대공약수와 최소공배수
true,2667,단지번호붙이기
true,4963,섬의 개수
true,6588,골드바흐의 추측
true,6603,로또
true,7576,토마토
true,9012,괄호
true,9093,단어 뒤집기
true,9095,"1, 2, 3 더하기"
true,9613,GCD 합
true,10430,나머지
true,10819,차이를 최대로
true,10872,팩토리얼
true,10971,외판원 순회 2
true,10974,모든 순열
true,11048,이동하기
true,11576,Base Conversion
true,11653,소인수분해
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,14225,부분수열의 합
true,14500,테트로미노
true,14501,퇴사
true,15649,N과 M (1)
true,15650,N과 M (2)
true,15652,N과 M (4)
true,15654,N과 M (5)
true,15655,N과 M (6)
true,15989,"1, 2, 3 더하기 4"
true,17087,숨바꼭질 6
바꼭질 6
false,1373,2진수 8진수
false,1697,숨바꼭질
false,2004,조합 0의 개수
false,10972,다음 순열
false,15651,N과 M (3)
false,15988,"1, 2, 3 더하기 3"
